Port,#,Name,Value,Units,Default,Min,Max
0,1,Output Freq,0.0,Hz,0.0,0.0,999.9
0,2,Commanded Freq,0.0,Hz,0.0,0.0,999.9
0,3,Output Current,0.00,A,0.00,0.00,12.00
0,4,Output Voltage,0.0,V,0.0,0.0,999.9
0,5,DC Bus Voltage,0,V,0,0,1200
0,6,Drive Status,00000000 00000000,,00000000 00000000,,
0,7,Fault 1 Code,0,,0,0,9999
0,8,Fault 2 Code,0,,0,0,9999
0,9,Fault 3 Code,0,,0,0,9999
0,10,Process Display,0,,0,0,9999
0,11,Process Fract,0.00,,0.00,0.00,0.99
0,12,Control Source,0,,0,0,255
0,13,Contrl In Status,00000000 00000000,,00000000 00000000,,
0,14,Dig In Status,00000000 00000000,,00000000 00000000,,
0,15,Comm Status,00000000 00000000,,00000000 00000000,,
0,16,Control SW Ver,0.00,,0.00,0.00,99.99
0,17,Drive Type,0,,0,0,7000
0,18,Elapsed Run Time,0,x10h,0,0,9999
0,19,Testpoint Data,00000000 00000000,,00000000 00000000,,
0,20,Analog In 0-10V,0.0,%,0.0,0.0,999.9
0,21,Analog In 4-20mA,0.0,%,0.0,0.0,999.9
0,22,Output Power,0.00,kW,0.00,0.00,99.99
0,23,Output Powr Fctr,0.0,deg,0.0,0.0,999.9
0,24,Drive Temp,0,C,0,0,120
0,25,Counter Status,0,,0,0,9999
0,26,Timer Status,0,Sec,0,0,9999
0,27,Timer Stat Fract,0.0,,0.0,0.0,0.9
0,28,Stp Logic Status,0,,0,0,8
0,29,Torque Current,0.00,A,0.00,0.00,12.00
0,30,Reserved,0,,0,0,0
0,31,Motor NP Volts,460,V,460,20,460
0,32,Motor NP Hertz,60,Hz,60,10,400
0,33,Motor OL Current,6.0,A,6.0,0.0,12.0
0,34,Minimum Freq,0.0,Hz,0.0,0.0,400.0
0,35,Maximum Freq,60,Hz,60,0,400
0,36,Start Source,Keypad,,Keypad,0,6
0,37,Stop Mode,Ramp  CF,,Ramp  CF,0,9
0,38,Speed Reference,Drive Pot,,Drive Pot,0,7
0,39,Accel Time 1,10.0,Sec,10.0,0.0,600.0
0,40,Decel Time 1,10.0,Sec,10.0,0.1,600.0
0,41,Reset To Defalts,Ready/Idle,,Ready/Idle,0,1
0,42,Reserved,0,,0,0,0
0,43,Motor OL Ret,Disabled,,Disabled,0,1
0,44,Reserved,0,,0,0,0
0,45,Reserved,0,,0,0,0
0,46,Reserved,0,,0,0,0
0,47,Reserved,0,,0,0,0
0,48,Reserved,0,,0,0,0
0,49,Reserved,0,,0,0,0
0,50,Reserved,0,,0,0,0
0,51,Digital In1 Sel,Preset Freq,,Preset Freq,0,27
0,52,Digital In2 Sel,Preset Freq,,Preset Freq,0,27
0,53,Digital In3 Sel,Local,,Local,0,27
0,54,Digital In4 Sel,Jog Forward,,Jog Forward,0,27
0,55,Relay Out Sel,Ready/Fault,,Ready/Fault,0,24
0,56,Relay Out Level,0,,0,0,9999
0,57,Relay Out LevelF,0.0,,0.0,0.0,0.9
0,58,Opto Out1 Sel,MotorRunning,,MotorRunning,0,24
0,59,Opto Out1 Level,0,,0,0,9999
0,60,Opto Out1 LevelF,0.0,,0.0,0.0,0.9
0,61,Opto Out2 Sel,At Frequency,,At Frequency,0,24
0,62,Opto Out2 Level,0,,0,0,9999
0,63,Opto Out2 LevelF,0.0,,0.0,0.0,0.9
0,64,Opto Out Logic,1=NO / 2=NO,,1=NO / 2=NO,0,3
0,65,Analog Out Sel,OutFreq 0-10,,OutFreq 0-10,0,23
0,66,Analog Out High,100,%,100,0,800
0,67,Accel Time 2,20.0,Sec,20.0,0.0,600.0
0,68,Decel Time 2,20.0,Sec,20.0,0.1,600.0
0,69,Internal Freq,60.0,Hz,60.0,0.0,400.0
0,70,Preset Freq 0,0.0,Hz,0.0,0.0,400.0
0,71,Preset Freq 1,5.0,Hz,5.0,0.0,400.0
0,72,Preset Freq 2,10.0,Hz,10.0,0.0,400.0
0,73,Preset Freq 3,20.0,Hz,20.0,0.0,400.0
0,74,Preset Freq 4,30.0,Hz,30.0,0.0,400.0
0,75,Preset Freq 5,40.0,Hz,40.0,0.0,400.0
0,76,Preset Freq 6,50.0,Hz,50.0,0.0,400.0
0,77,Preset Freq 7,60.0,Hz,60.0,0.0,400.0
0,78,Jog Frequency,10.0,Hz,10.0,0.0,400.0
0,79,Jog Accel/Decel,10.0,Sec,10.0,0.1,600.0
0,80,DC Brake Time,0.0,Sec,0.0,0.0,99.9
0,81,DC Brake Level,0.3,A,0.3,0.0,10.8
