Port,#,Name,Value,Units,Default,Min,Max
0,1,Output Freq,0.00,Hz,0.00,0.00,500.00
0,2,Commanded Freq,0.00,Hz,0.00,0.00,500.00
0,3,Output Current,0.00,A,0.00,0.00,26.00
0,4,Output Voltage,0.0,V,0.0,0.0,999.9
0,5,DC Bus Voltage,653,VDC,0,0,1200
0,6,Drive Status,00000000 00000010,,00000000 00000000,,
0,7,Fault 1 Code,73,,0,0,127
0,8,Fault 2 Code,59,,0,0,127
0,9,Fault 3 Code,48,,0,0,127
0,10,Process Display,0,,0,0,9999
0,11,Process Fract,0.00,,0.00,0.00,0.99
0,12,Control Source,155,,0,0,2165
0,13,Contrl In Status,00000000 00000001,,00000000 00000000,,
0,14,Dig In Status,00000000 00000000,,00000000 00000000,,
0,15,Output RPM,0,RPM,0,0,24000
0,16,Output Speed,0.0,%,0.0,0.0,100.0
0,17,Output Power,0.00,kW,0.00,0.00,99.99
0,18,Power Saved,0.00,kW,0.00,0.00,655.35
0,19,Elapsed Run Time,1,x10h,0,0,65535
0,20,Average Power,0.34,kW,0.00,0.00,655.35
0,21,Elapsed kWh,5.7,kWh,0.0,0.0,100.0
0,22,Elapsed MWh,0.0,MWh,0.0,0.0,6553.5
0,23,Energy Saved,88.9,kWh,0.0,0.0,6553.5
0,24,Accum kWh Sav,8.8,kWh,0.0,0.0,6553.5
0,25,Accum Cost Sav,0.0,,0.0,0.0,6553.5
0,26,Accum CO2 Sav,44.3,kg,0.0,0.0,6553.5
0,27,Drive Temp,28,C,0,0,120
0,28,Control Temp,55,C,0,0,120
0,29,Control SW Ver,7.001,,0.000,0.000,65.535
0,30,Language,English,,English,1,15
0,31,Motor NP Volts,460,V,460,20,460
0,32,Motor NP Hertz,60,Hz,60,15,500
0,33,Motor OL Current,13.0,A,13.0,0.0,26.0
0,34,Motor NP FLA,10.1,A,10.1,0.1,26.0
0,35,Motor NP Poles,4,,4,2,40
0,36,Motor NP RPM,1750,RPM,1750,0,24000
0,37,Motor NP Power,5.50,kW,5.50,0.00,655.35
0,38,Reserved,0,,0,0,0
0,39,Torque Perf Mode,SVC,,SVC,0,5
0,40,Autotune,Ready/Idle,,Ready/Idle,0,2
0,41,Accel Time 1,10.00,Sec,10.00,0.00,600.00
0,42,Decel Time 1,10.00,Sec,10.00,0.00,600.00
0,43,Minimum Freq,0.00,Hz,0.00,0.00,500.00
0,44,Maximum Freq,60.00,Hz,60.00,0.00,500.00
0,45,Stop Mode,"Ramp, CF",,"Ramp, CF",0,11
0,46,Start Source 1,Keypad,,Keypad,1,5
0,47,Speed Reference1,Drive Pot,,Drive Pot,1,16
0,48,Start Source 2,DigIn TrmBlk,,DigIn TrmBlk,1,5
0,49,Speed Reference2,0-10V input,,0-10V input,1,16
0,50,Start Source 3,EtherNet/IP,,EtherNet/IP,1,5
0,51,Speed Reference3,EtherNet/IP,,EtherNet/IP,1,16
0,52,Average kWh Cost,0.00,,0.00,0.00,655.35
0,53,Reset To Defalts,Ready/Idle,,Ready/Idle,0,4
0,54,Display Param,Keypad Disp,,Keypad Disp,0,54
0,55,Reserved,0,,0,0,0
0,56,Reserved,0,,0,0,0
0,57,Reserved,0,,0,0,0
0,58,Reserved,0,,0,0,0
0,59,Reserved,0,,0,0,0
0,60,Reserved,0,,0,0,0
0,61,Reserved,0,,0,0,0
0,62,DigIn TermBlk 02,2-Wire FWD,,2-Wire FWD,0,49
0,63,DigIn TermBlk 03,2-Wire REV,,2-Wire REV,0,51
0,64,2-Wire Mode,Edge Trigger,,Edge Trigger,0,3
0,65,DigIn TermBlk 05,Preset Freq,,Preset Freq,0,43
0,66,DigIn TermBlk 06,Preset Freq,,Preset Freq,0,43
0,67,DigIn TermBlk 07,Spd + Strt 2,,Spd + Strt 2,0,52
0,68,DigIn TermBlk 08,Jog Forward,,Jog Forward,0,43
0,69,Opto Out1 Sel,MotorRunning,,MotorRunning,0,31
0,70,Opto Out1 Level,0,,0,0,9999
0,71,Opto Out1 LevelF,0.0,,0.0,0.0,0.9
