Port,#,Name,Value,Units,Default,Min,Max
0,1,Output Freq,0,Hz,0.00,0.0,500.0
0,2,Commanded Freq,450,Hz,0.00,0.0,500.0
0,3,Output Current,0,A,0.00,0.0,26.0
0,4,Output Voltage,0,V,0.0,0.0,999.9
0,5,DC Bus Voltage,646,VDC,0,0.0,1200.0
0,6,Drive Status,00000000 00000000,,00000000 00000000,,
0,7,Fault 1 Code,4,,0,0.0,127.0
0,8,Fault 2 Code,71,,0,0.0,127.0
0,9,Fault 3 Code,4,,0,0.0,127.0
0,10,Process Display,0,,0,0.0,9999.0
0,11,Process Fract,0.00,,0.00,0.0,0.99
0,12,Control Source,0,,0,0.0,2165.0
0,13,Contrl In Status,00000000 00000000,,00000000 00000000,,
0,14,Dig In Status,XXXXXXXX XXXX0000,,00000000 00000000,,
0,15,Output RPM,0,RPM,0,0.0,24000.0
0,16,Output Speed,0.0,%,0.0,0.0,100.0
0,17,Output Power,0,kW,0.00,0.0,99.99
0,18,Power Saved,0.00,kW,0.00,0.0,655.35
0,19,Elapsed Run Time,143,x10h,0,0.0,65535.0
0,20,Average Power,0.00,kW,0.00,0.0,655.35
0,21,Elapsed kWh,0,kWh,0.0,0.0,100.0
0,22,Elapsed MWh,0,MWh,0.0,0.0,6553.5
0,23,Energy Saved,0.0,kWh,0.0,0.0,6553.5
0,24,Accum kWh Sav,0.0,kWh,0.0,0.0,6553.5
0,25,Accum Cost Sav,0.0,,0.0,0.0,6553.5
0,26,Accum CO2 Sav,0.0,kg,0.0,0.0,6553.5
0,27,Drive Temp,41,C,0,0.0,120.0
0,28,Control Temp,0,C,0,0.0,120.0
0,29,Control SW Ver,702,,0.000,0.0,65.535
0,30,Language,1,,English,1.0,15.0
0,31,Motor NP Volts,460,V,460,20.0,460.0
0,32,Motor NP Hertz,60,Hz,60,15.0,500.0
0,33,Motor OL Current,15,A,13.0,0.0,26.0
0,34,Motor NP FLA,12,A,10.1,0.1,26.0
0,35,Motor NP Poles,4,,4,2.0,40.0
0,36,Motor NP RPM,1750,RPM,1750,0.0,24000.0
0,37,Motor NP Power,550,kW,5.50,0.0,655.35
0,38,Reserved,0,,0,0.0,0.0
0,39,Torque Perf Mode,1,,SVC,0.0,5.0
0,40,Autotune,1,,Ready/Idle,0.0,2.0
0,41,Accel Time 1,15,Sec,10.00,0.0,600.0
0,42,Decel Time 1,5,Sec,10.00,0.0,600.0
0,43,Minimum Freq,0,Hz,0.00,0.0,500.0
0,44,Maximum Freq,10000,Hz,60.00,0.0,500.0
0,45,Stop Mode,0,,"Ramp, CF",0.0,11.0
0,46,Start Source 1,5,,Keypad,1.0,5.0
0,47,Speed Reference1,15,,Drive Pot,1.0,16.0
0,48,Start Source 2,1,,DigIn TrmBlk,1.0,5.0
0,49,Speed Reference2,4,,0-10V input,1.0,16.0
0,50,Start Source 3,4,,EtherNet/IP,1.0,5.0
0,51,Speed Reference3,14,,EtherNet/IP,1.0,16.0
0,52,Average kWh Cost,0,,0.00,0.0,655.35
0,53,Reset To Defalts,Ready/Idle,,Ready/Idle,0.0,4.0
0,54,Display Param,0,,Keypad Disp,0.0,54.0
0,55,Reserved,0,,0,0.0,0.0
0,56,Reserved,0,,0,0.0,0.0
0,57,Reserved,0,,0,0.0,0.0
0,58,Reserved,0,,0,0.0,0.0
0,59,Reserved,0,,0,0.0,0.0
0,60,Reserved,0,,0,0.0,0.0
0,61,Reserved,0,,0,0.0,0.0
0,62,DigIn TermBlk 02,46,,2-Wire FWD,0.0,49.0
0,63,DigIn TermBlk 03,48,,2-Wire REV,0.0,51.0
0,64,2-Wire Mode,0,,Edge Trigger,0.0,3.0
